,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
119,2770813,Home in Clontarf · ★4.67 · 1 bedroom · 2 beds · 1.5 shared baths,14169546,Maeve,D03,Dublin City,53.36417,-6.18684,Private room,138,1,143,2023-06-08,1.29,4,288,65,
120,2778697,Home in Glasnevin · ★4.89 · 1 bedroom · 1 bed · 1 private bath,14211400,Niamh & Jacques,D09,Dublin City,53.36723,-6.26862,Private room,85,62,116,2022-10-14,1.05,1,0,5,
121,2791857,Townhouse in Santry · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,12173057,Maeve & Ken,D09,Dublin City,53.38903,-6.24719,Private room,71,2,248,2022-08-12,2.28,2,0,2,
122,2795703,Rental unit in Dublin · ★4.85 · 2 bedrooms · 2 beds · 2 baths,11170895,Aidan,D08,Dublin City,53.34903,-6.29431,Entire home/apt,158,2,49,2018-07-24,0.44,1,0,0,
123,2832333,Townhouse in Dublin · ★4.91 · 3 bedrooms · 3 beds · 1.5 baths,13430588,Deborah,D06,Dublin City,53.33008,-6.27272,Entire home/apt,333,6,183,2020-09-06,1.66,2,192,0,
124,2842414,Home in Dublin 7 · ★3.33 · 3 bedrooms · 3 beds · 1 bath,14538019,Tom,D07,Dublin City,53.36536,-6.29111,Entire home/apt,65,2,6,2017-09-04,0.07,1,0,0,
125,2842486,Rental unit in Dublin · ★4.34 · 1 bedroom · 1 bed · 1 bath,7002908,Tom,D08,Dublin City,53.33776,-6.30401,Entire home/apt,110,7,139,2019-10-01,1.26,1,0,0,
126,2850155,Home in Dublin · 3 bedrooms · 3 beds · 2.5 baths,14413720,Alan,A96,Dn Laoghaire-Rathdown,53.28346,-6.13591,Entire home/apt,300,10,1,2022-08-14,0.1,2,11,1,
127,2862881,Rental unit in Dublin  · ★4.85 · 1 bedroom · 1 bed · 1 bath,14633294,Riona,D02,Dublin City,53.34051,-6.25699,Entire home/apt,270,3,47,2023-05-28,0.96,3,182,25,
128,2873250,Townhouse in Dublin 3 · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,7894251,Philippe,D03,Dublin City,53.35951,-6.24626,Private room,51,2,6,2018-09-02,0.1,1,0,0,
